icd_category,icd_code,icd_version,icd_desc,icd_duplicate,ccsr_category
cld,7707,9,PERINATAL CHR RESP DIS,0,Other perinatal conditions
cld,P270,10,Wilson-Mikity syndrome,0,Respiratory perinatal condition
cld,P271,10,Bronchopulmonary dysplasia originating in the perinatal period,0,Respiratory perinatal condition
cld,P278,10,Other chronic respiratory diseases originating in the perinatal period,0,Respiratory perinatal condition
cld,P279,10,Unspecified chronic respiratory disease originating in the perinatal period,0,Respiratory perinatal condition
hydrocephalus,G910,10,Communicating hydrocephalus,0,Other nervous system disorders (neither hereditary nor degenerative)
hydrocephalus,G911,10,Obstructive hydrocephalus,0,Other nervous system disorders (neither hereditary nor degenerative)
hydrocephalus,G912,10,(Idiopathic) normal pressure hydrocephalus,0,Other nervous system disorders (neither hereditary nor degenerative)
hydrocephalus,G913,10,"Post-traumatic hydrocephalus, unspecified",0,Other nervous system disorders (neither hereditary nor degenerative)
hydrocephalus,G914,10,Hydrocephalus in diseases classified elsewhere,0,Other nervous system disorders (neither hereditary nor degenerative)
hydrocephalus,G919,10,"Hydrocephalus, unspecified",0,Other nervous system disorders (neither hereditary nor degenerative)
hydrocephalus,Q039,10,"Congenital hydrocephalus, unspecified",0,Nervous system congenital anomalies
hydrocephalus,Q051,10,Thoracic spina bifida with hydrocephalus,0,Nervous system congenital anomalies
hydrocephalus,Q052,10,Lumbar spina bifida with hydrocephalus,0,Nervous system congenital anomalies
hydrocephalus,Q054,10,Unspecified spina bifida with hydrocephalus,0,Nervous system congenital anomalies
hydrocephalus,Q0702,10,Arnold-Chiari syndrome with hydrocephalus,0,Nervous system congenital anomalies
ivh34,77213,9,INTRAVENT HEMORRHAGE GRADE III (Begin 2001),0,Other perinatal conditions
ivh34,77214,9,INTRAVENT HEMORRHAGE GRADE IV (Begin 2001),0,Other perinatal conditions
ivh34,P5221,10,"Intraventricular (nontraumatic) hemorrhage, grade 3, of newborn",0,Hemorrhagic and hematologic disorders of newborn
ivh34,P5222,10,"Intraventricular (nontraumatic) hemorrhage, grade 4, of newborn",0,Hemorrhagic and hematologic disorders of newborn
laparotomy,V6441,9,LAPAROSCOPIC SURGICAL PROCEDURE CONVERTED TO (Begin 2003),0,Residual codes; unclassified
laparotomy,Z5331,10,Laparoscopic surgical procedure converted to open procedure,0,Other specified status
nec,7775,9,NECROT ENTEROCOLITIS NB (end 2008),0,Other perinatal conditions
nec,77750,9,NEC ENTEROCOLTIS NB NOS (Begin 2008),0,Other perinatal conditions
nec,77751,9,STG I NEC ENTEROCOL NB (Begin 2008),0,Other perinatal conditions
nec,77752,9,STG II NEC ENTEROCOL NB (Begin 2008),0,Other perinatal conditions
nec,77753,9,STG III NEC ENTEROCOL NB (Begin 2008),0,Other perinatal conditions
nec,P771,10,Stage 1 necrotizing enterocolitis in newborn,0,Neonatal digestive and feeding disorders
nec,P772,10,Stage 2 necrotizing enterocolitis in newborn,0,Neonatal digestive and feeding disorders
nec,P773,10,Stage 3 necrotizing enterocolitis in newborn,0,Neonatal digestive and feeding disorders
nec,P779,10,"Necrotizing enterocolitis in newborn, unspecified",0,Neonatal digestive and feeding disorders
nec_severe,77753,9,STG III NEC ENTEROCOL NB (Begin 2008),0,Other perinatal conditions
nec_severe,P773,10,Stage 3 necrotizing enterocolitis in newborn,0,Neonatal digestive and feeding disorders
noscomial,Y95,10,Nosocomial condition,0,"External cause codes: complications of medical and surgical care, initial encounter"
pvl,7797,9,PREVENTRICULAR LEUKOMALACIA (Begin 2001),0,Other perinatal conditions
pvl,85400,9,BRAIN INJURY NEC,0,Intracranial injury
pvl,85401,9,BRAIN INJURY NEC-NO COMA,0,Intracranial injury
pvl,85402,9,BRAIN INJ NEC-BRIEF COMA,0,Intracranial injury
pvl,85403,9,BRAIN INJ NEC-MOD COMA,0,Intracranial injury
pvl,85404,9,BRAIN INJ NEC-PROLN COMA,0,Intracranial injury
pvl,85405,9,BRAIN INJ NEC-DEEP COMA,0,Intracranial injury
pvl,85406,9,BRAIN INJ NEC-COMA NOS,0,Intracranial injury
pvl,85409,9,BRAIN INJ NEC-CONCUSSION,0,Intracranial injury
pvl,85410,9,BRAIN INJURY W OPN WND,0,Intracranial injury
pvl,85411,9,OPN BRAIN INJ W/O COMA,0,Intracranial injury
pvl,85412,9,OPN BRAIN INJ-BRIEF COMA,0,Intracranial injury
pvl,85413,9,OPN BRAIN INJ-MOD COMA,0,Intracranial injury
pvl,85414,9,OPN BRAIN INJ-PROLN COMA,0,Intracranial injury
pvl,85415,9,OPN BRAIN INJ-DEEP COMA,0,Intracranial injury
pvl,85416,9,OPEN BRAIN INJ-COMA NOS,0,Intracranial injury
pvl,85419,9,OPN BRAIN INJ-CONCUSSION,0,Intracranial injury
pvl,P912,10,Neonatal cerebral leukomalacia,0,Neonatal cerebral disorders
pvl,S061X0A,10,"Traumatic cerebral edema without loss of consciousness, initial encounter",0,"Traumatic brain injury (TBI); concussion, initial encounter"
pvl,S061X1A,10,"Traumatic cerebral edema with loss of consciousness of 30 minutes or less, initial encounter",0,"Traumatic brain injury (TBI); concussion, initial encounter"
pvl,S061X2A,10,"Traumatic cerebral edema with loss of consciousness of 31 minutes to 59 minutes, initial encounter",0,"Traumatic brain injury (TBI); concussion, initial encounter"
pvl,S061X3A,10,"Traumatic cerebral edema with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter",0,"Traumatic brain injury (TBI); concussion, initial encounter"
pvl,S061X4A,10,"Traumatic cerebral edema with loss of consciousness of 6 hours to 24 hours, initial encounter",0,"Traumatic brain injury (TBI); concussion, initial encounter"
pvl,S061X5A,10,"Traumatic cerebral edema with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",0,"Traumatic brain injury (TBI); concussion, initial encounter"
pvl,S061X6A,10,"Traumatic cerebral edema with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",0,"Traumatic brain injury (TBI); concussion, initial encounter"
pvl,S061X7A,10,"Traumatic cerebral edema with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter",0,"Traumatic brain injury (TBI); concussion, initial encounter"
pvl,S061X8A,10,"Traumatic cerebral edema with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter",0,"Traumatic brain injury (TBI); concussion, initial encounter"
pvl,S061X9A,10,"Traumatic cerebral edema with loss of consciousness of unspecified duration, initial encounter",0,"Traumatic brain injury (TBI); concussion, initial encounter"
pvl,S06890A,10,"Other specified intracranial injury without loss of consciousness, initial encounter",0,"Traumatic brain injury (TBI); concussion, initial encounter"
