icd_category,icd_code
ivh34,P5222
ivh34,P5221
ivh34,77214
ivh34,77213
pvl,854
pvl,7797
pvl,8540
pvl,8541
pvl,85400
pvl,85401
pvl,85402
pvl,85403
pvl,85404
pvl,85405
pvl,85406
pvl,85409
pvl,85410
pvl,85411
pvl,85412
pvl,85413
pvl,85414
pvl,85415
pvl,85416
pvl,85419
nec,7775
nec,77750
nec,77751
nec,77752
nec,77753
nec,P771
nec,P772
nec,P773
nec,P779
nec_severe,P773
nec_severe,77753
shunt,Z982
hydrocephalus,G919
hydrocephalus,G911
hydrocephalus,Q039
hydrocephalus,G910
hydrocephalus,G913
hydrocephalus,G912
hydrocephalus,Q054
hydrocephalus,Q03
hydrocephalus,Q052
hydrocephalus,Q051
hydrocephalus,Q0702
hydrocephalus,G914
laparotomy,Z5331
laparotomy,V6441
cld,7707
cld,P270
cld,P271
cld,P278
cld,P279
ventilation,Z9911
ventilation,Z9981
rop345,36225
rop345,36226
rop345,36227
rop345,H35141
rop345,H35142
rop345,H35143
rop345,H35149
rop345,H35151
rop345,H35152
rop345,H35153
rop345,H35159
rop345,H35161
rop345,H35162
rop345,H35163
rop345,H35169
noscomial,Y95
